# Les 2000 verbes français les plus fréquents, plus les
# quatre écrits à la main. Source : Lexique 3.83 (lexique.org),
# moyenne des fréquences par lemme dans les sous-titres de
# films et dans les livres, par million de mots. Ne sont
# gardés que les verbes que Verbiste sait conjuguer.
# verbe	fréquence
gaspiller	8.79
blanchir	8.79
esquisser	8.78
trébucher	8.78
expulser	8.76
garnir	8.73
accentuer	8.71
brailler	8.71
puiser	8.71
advenir	8.67
mâcher	8.65
piloter	8.65
débuter	8.62
endurer	8.62
incruster	8.62
plisser	8.54
interpeller	8.53
réapparaître	8.52
râler	8.51
droguer	8.50
sangloter	8.46
chausser	8.44
détailler	8.44
foirer	8.43
inciter	8.39
emprisonner	8.37
sculpter	8.32
charrier	8.30
munir	8.29
arrondir	8.29
copier	8.26
reparaître	8.24
submerger	8.24
consumer	8.23
dédier	8.23
galoper	8.22
accommoder	8.22
aplatir	8.22
chevaucher	8.22
grouper	8.21
froncer	8.20
gouverner	8.19
agresser	8.18
débiter	8.17
pâlir	8.17
tutoyer	8.16
kidnapper	8.14
solliciter	8.13
discerner	8.12
tracasser	8.12
dissoudre	8.12
froisser	8.12
tricoter	8.12
avérer	8.11
déserter	8.09
exhiber	8.09
conférer	8.09
filtrer	8.08
bousiller	8.07
affairer	8.07
rallier	8.06
encercler	8.06
tournoyer	8.03
emménager	8.03
réconforter	8.03
piller	8.02
trouer	8.02
rasseoir	8.01
improviser	8.00
alourdir	8.00
farcir	7.98
lover	7.94
prédire	7.94
empirer	7.92
blâmer	7.90
orienter	7.90
durcir	7.89
escorter	7.89
repentir	7.88
souper	7.88
tripoter	7.88
équiper	7.87
localiser	7.85
dériver	7.85
manoeuvrer	7.83
éparpiller	7.83
enjamber	7.83
exalter	7.82
couver	7.81
contracter	7.81
assombrir	7.80
rincer	7.80
décréter	7.80
miser	7.79
restaurer	7.79
évaluer	7.74
flinguer	7.73
révolter	7.73
borner	7.71
damer	7.69
perturber	7.68
percher	7.67
digérer	7.66
présider	7.66
miner	7.65
ajuster	7.64
marmonner	7.62
prêcher	7.62
saouler	7.61
aventurer	7.60
déformer	7.59
alimenter	7.58
croître	7.56
cramponner	7.56
atténuer	7.56
reconstruire	7.54
affaler	7.53
rhabiller	7.51
tressaillir	7.51
tabasser	7.51
mouvoir	7.46
déguster	7.46
répugner	7.45
intégrer	7.44
scier	7.43
palper	7.42
contredire	7.42
décliner	7.41
resserrer	7.41
broncher	7.41
vaciller	7.36
maigrir	7.35
accroître	7.33
tituber	7.33
hérisser	7.32
démonter	7.30
empresser	7.28
mijoter	7.28
blottir	7.27
aménager	7.26
affaiblir	7.25
déprimer	7.23
pécher	7.23
succomber	7.22
espionner	7.22
dispenser	7.21
chatouiller	7.20
river	7.18
